               #temperature[K]                 pressure[atm]             dmu[meV,liq->ice]         dmu_err[meV,liq->ice]
                           230                          2000                       -0.8061                        0.1713
                           235                          2000                       -0.8279                        0.1873
                           240                          2000                       -0.7405                        0.1110
                           245                          2000                       -0.8515                        0.1100
                           250                          2000                       -0.8570                        0.0872
                           255                          2000                       -0.8133                        0.0903
                           260                          2000                       -0.8619                        0.1085
                           235                          3000                       -0.7238                        0.1466
                           240                          3000                       -0.6726                        0.1458
                           245                          3000                       -0.7939                        0.1239
                           250                          3000                       -0.7450                        0.0930
                           255                          3000                       -0.7563                        0.1022
                           260                          3000                       -0.6981                        0.1245
                           265                          3000                       -0.7658                        0.0607
                           270                          3000                       -0.7949                        0.0516
                           250                          5000                       -0.4823                        0.2047
                           255                          5000                       -0.5727                        0.1512
                           260                          5000                       -0.5676                        0.1791
                           265                          5000                       -0.5703                        0.0969
                           270                          5000                       -0.5985                        0.0807
                           250                          6000                       -0.5144                        0.1778
                           255                          6000                       -0.5636                        0.1270
                           260                          6000                       -0.5567                        0.1595
                           265                          6000                       -0.4465                        0.1400
                           270                          6000                       -0.5321                        0.0761
