#temperature[K]  pressure[atm]       dmu[meV]   dmu_err[meV]
            245           5000         0.7100         0.0486
            250           5000         0.6892         0.0505
            255           5000         0.6708         0.0644
            260           5000         0.6500         0.0446
            265           5000         0.6405         0.0412
            255           6000         0.7843         0.0172
            260           6000         0.7505         0.0573
            265           6000         0.7288         0.0439
            270           6000         0.7195         0.0482
            275           6000         0.7364         0.0585
