               #temperature[K]                 pressure[atm]             dmu[meV,liq->ice]         dmu_err[meV,liq->ice]
                           245                          7000                       -0.6115                        0.1245
                           250                          7000                       -0.5011                        0.2646
                           255                          7000                       -0.6176                        0.0959
                           260                          7000                       -0.6365                        0.1304
                           265                          7000                       -0.6048                        0.0482
                           270                          7000                       -0.6201                        0.0952
                           275                          7000                       -0.6027                        0.1285
                           255                          9000                       -0.5447                        0.2002
                           260                          9000                       -0.5942                        0.1156
                           265                          9000                       -0.6255                        0.1279
                           270                          9000                       -0.5522                        0.1769
                           275                          9000                       -0.5665                        0.1101
                           280                          9000                       -0.5647                        0.1353
                           285                          9000                       -0.6205                        0.1117
